epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.9468,0.90174,2.63065,1.46014,0.51374,0.26283,0.35485,0.25735,0.97968,2.45639,1.78461,0.00329502,0.00329502,0.00329502
2,125.896,0.74502,1.38162,1.27917,0.35345,0.56369,0.35004,0.14237,2.09427,2.36749,2.93074,0.00659554,0.00659554,0.00659554
3,169.829,0.79713,1.1861,1.30542,0.35587,0.01075,0.00253,0.00073,4.3579,6.40418,5.89813,0.00986307,0.00986307,0.00986307
4,215.304,0.80119,1.02653,1.3057,0.09454,0.16329,0.07159,0.02037,3.85063,4.80454,5.72527,0.0098515,0.0098515,0.0098515
5,259.19,0.77028,0.89178,1.27892,0.49889,0.63464,0.55266,0.34999,1.12245,1.7453,1.95077,0.009802,0.009802,0.009802
6,302.991,0.75842,0.84401,1.27183,0.52674,0.8381,0.73853,0.56426,0.83379,1.2268,1.70155,0.0097525,0.0097525,0.0097525
7,344.608,0.73858,0.80469,1.25206,0.72752,0.81485,0.80279,0.63328,0.8267,0.79571,1.61118,0.009703,0.009703,0.009703
8,387.304,0.71891,0.78104,1.249,0.74636,0.80806,0.83347,0.63636,0.83003,0.73984,1.64587,0.0096535,0.0096535,0.0096535
9,431.702,0.71756,0.75753,1.24389,0.14782,0.78095,0.42916,0.28532,1.14203,3.46047,2.21822,0.009604,0.009604,0.009604
10,475.38,0.70276,0.73168,1.22997,0.62953,0.86292,0.76387,0.60571,0.80109,0.95478,1.55883,0.0095545,0.0095545,0.0095545
11,519.94,0.69655,0.7302,1.22814,0.43039,0.49839,0.46123,0.35281,0.8228,1.99716,1.58319,0.009505,0.009505,0.009505
12,564.381,0.68854,0.71551,1.22115,0.73262,0.86075,0.86496,0.70756,0.70749,0.65032,1.45403,0.0094555,0.0094555,0.0094555
13,609.393,0.68364,0.70289,1.225,0.79523,0.84754,0.87744,0.71868,0.71368,0.63664,1.43344,0.009406,0.009406,0.009406
14,653.613,0.67559,0.68094,1.2156,0.68395,0.85831,0.81409,0.65556,0.743,0.76199,1.48673,0.0093565,0.0093565,0.0093565
15,697.958,0.67964,0.6881,1.21554,0.70884,0.85319,0.84996,0.69657,0.71151,0.7257,1.41513,0.009307,0.009307,0.009307
16,742.092,0.66545,0.67716,1.20705,0.73756,0.87581,0.88339,0.71736,0.71827,0.62927,1.46029,0.0092575,0.0092575,0.0092575
17,785.724,0.664,0.66606,1.21163,0.6595,0.84278,0.78484,0.65664,0.68171,1.21825,1.39103,0.009208,0.009208,0.009208
18,829.44,0.65928,0.66027,1.20137,0.56628,0.8092,0.72919,0.60149,0.70681,1.39298,1.42803,0.0091585,0.0091585,0.0091585
19,873.278,0.65465,0.64805,1.2013,0.77543,0.88679,0.89683,0.73473,0.7235,0.57742,1.45806,0.009109,0.009109,0.009109
20,917.978,0.65208,0.63551,1.19865,0.63043,0.87578,0.77259,0.64157,0.69982,0.90975,1.4197,0.0090595,0.0090595,0.0090595
21,962.108,0.64501,0.63659,1.19188,0.44037,0.9381,0.72852,0.60289,0.73016,1.76016,1.43949,0.00901,0.00901,0.00901
22,1006.3,0.63684,0.61977,1.18852,0.80394,0.87019,0.894,0.73389,0.73323,0.58496,1.47667,0.0089605,0.0089605,0.0089605
23,1050.53,0.63453,0.61852,1.18802,0.82301,0.87505,0.90224,0.75136,0.69182,0.55833,1.38767,0.008911,0.008911,0.008911
24,1095.5,0.63664,0.61032,1.18565,0.7201,0.84291,0.83704,0.6974,0.68729,0.7928,1.40252,0.0088615,0.0088615,0.0088615
25,1139.19,0.63482,0.59112,1.18793,0.78492,0.8099,0.85939,0.71282,0.69475,0.64356,1.39007,0.008812,0.008812,0.008812
26,1182.92,0.629,0.59823,1.18203,0.67467,0.80939,0.8317,0.68513,0.70643,0.73426,1.39992,0.0087625,0.0087625,0.0087625
